score,canonical_name,primary_state,locations,employees,revenue_est,year_established,school,special_needs,website,rationale
57.5,Lucy School Bus,FL,1,3,134000,,1,0,,3 emp; $0.1M rev; year n/a; single; phone; school
57.5,Isd Transportation LLC,MN,1,3,134000,,1,0,,3 emp; $0.1M rev; year n/a; single; phone; school
57.5,Burlington School Trnsprtn,CO,1,4,132000,,1,0,,4 emp; $0.1M rev; year n/a; single; phone; school
57.5,Charles County Sch Bus Contrs,MD,1,3,116000,,1,0,,3 emp; $0.1M rev; year n/a; single; phone; school
57.5,School Bus Stop,PA,1,3,113000,,1,0,,3 emp; $0.1M rev; year n/a; single; phone; school
57.5,Waldron Schools Transportation,AR,1,3,70000,,1,0,,3 emp; $0.1M rev; year n/a; single; phone; school
55.5,Dinar School Transportation,NJ,1,3,164000,2017,1,0,,3 emp; $0.2M rev; est 2017 (9y); single; phone; school
55.2,National Limosne Drivers Assn,CA,1,3,220000,,0,1,,3 emp; $0.2M rev; year n/a; single; phone; special-needs
53.0,H & H School Bus,TX,1,2,189000,,1,0,,2 emp; $0.2M rev; year n/a; single; phone; school
53.0,Glenn Mc Guire School Bus,MD,1,2,147000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Mystic School Transportation,FL,1,2,143000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,School Bell Transportation Svc,FL,1,2,131000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Milvia School Transportation,FL,1,2,120000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Ecco School Transportation LLC,MN,1,2,102000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Gume School Bus,TX,1,1,95000,,1,0,,1 emp; $0.1M rev; year n/a; single; phone; school
53.0,A B C School Transportation,FL,1,2,89000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Damaris Oristela School Bus,FL,1,2,89000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Gonzalez Trnsprtn School Bus,FL,1,2,89000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Manny School Bus,FL,1,2,89000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Mercy & Norman School Bus,FL,1,2,89000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Middleton School Bus Office,ID,1,2,84000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Southeast Local Schools Bus,OH,1,2,69000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Jennings School Transport Bldg,IN,1,2,65000,,1,0,,2 emp; $0.1M rev; year n/a; single; phone; school
53.0,Smart Kids School Bus Broward,FL,1,1,45000,,1,0,,1 emp; $0.0M rev; year n/a; single; phone; school
53.0,Metropolitan School-Transportn,IN,1,2,44000,,1,0,,2 emp; $0.0M rev; year n/a; single; phone; school
